Fecha,Visita,Local,Apuesta_A,Cuota,Casa_Apuestas,Inversion_COP,Ganancia_Potencial_COP,Prob_IA_%,Estado,Beneficio_Neto
2026-05-18,Athletics,Texas Rangers,Texas Rangers,5.64,Pinnacle,1000.0,4640.0,50.5,Pendiente,0.0
2026-05-18,San Diego Padres,Arizona Diamondbacks,Arizona Diamondbacks,15.0,Unibet (NL),1000.0,14000.0,50.5,Pendiente,0.0
2026-05-18,Los Angeles Angels,Kansas City Royals,Kansas City Royals,15.0,Unibet (SE),1000.0,14000.0,50.5,Pendiente,0.0
2026-05-18,Chicago Cubs,Los Angeles Dodgers,Chicago Cubs,7.0,Unibet (NL),1000.0,6000.0,49.5,Pendiente,0.0
2026-05-18,Colorado Rockies,New York Mets,New York Mets,4.1,Unibet (NL),1000.0,3100.0,50.5,Pendiente,0.0
2026-05-19,Athletics,Texas Rangers,Texas Rangers,5.64,Pinnacle,1000.0,4640.0,50.5,Pendiente,0.0
2026-05-19,San Diego Padres,Arizona Diamondbacks,Arizona Diamondbacks,15.0,Unibet (NL),1000.0,14000.0,50.5,Pendiente,0.0
2026-05-19,Los Angeles Angels,Kansas City Royals,Kansas City Royals,15.0,Unibet (SE),1000.0,14000.0,50.5,Pendiente,0.0
2026-05-19,Chicago Cubs,Los Angeles Dodgers,Chicago Cubs,7.0,Unibet (NL),1000.0,6000.0,49.5,Pendiente,0.0
2026-05-19,Colorado Rockies,New York Mets,New York Mets,4.1,Unibet (NL),1000.0,3100.0,50.5,Pendiente,0.0
2026-05-20,Athletics,Texas Rangers,Texas Rangers,5.64,Pinnacle,1000.0,4640.0,50.5,Pendiente,0.0
2026-05-20,San Diego Padres,Arizona Diamondbacks,Arizona Diamondbacks,15.0,Unibet (NL),1000.0,14000.0,50.5,Pendiente,0.0
2026-05-20,Los Angeles Angels,Kansas City Royals,Kansas City Royals,15.0,Unibet (SE),1000.0,14000.0,50.5,Pendiente,0.0
2026-05-20,Chicago Cubs,Los Angeles Dodgers,Chicago Cubs,7.0,Unibet (NL),1000.0,6000.0,49.5,Pendiente,0.0
2026-05-20,Colorado Rockies,New York Mets,New York Mets,4.1,Unibet (NL),1000.0,3100.0,50.5,Pendiente,0.0
